locality_id,lat,long,locality
495,-35.711533,142.671962,BANYAN
496,-35.515627,142.616079,LASCELLES
497,-35.435634,142.427118,SPEED
498,-35.47089941,142.4522756,TURRIFF
499,-35.332477,142.425302,TEMPY
500,-35.62103426,141.4849679,BIG DESERT
501,-34.911674,142.206711,BOINKA
502,-35.15426089,142.6222683,MITTYACK
503,-34.70931565,141.4764416,MURRAY-SUNSET
504,-35.434099,142.218273,PATCHEWOLLOCK
505,-34.486406,142.348315,CARWARP
506,-34.287804,142.144177,CARDROSS
507,-34.277724,141.592628,CULLULLERAINE
508,-34.089735,141.596797,LINDSAY POINT
509,-34.389148,141.334798,MERINGUR
510,-34.370179,141.801957,MERRINEE
511,-34.192418,141.597936,MURRAY LOCK NO 9
512,-34.130253,141.326064,NEDS CORNER
513,-34.307094,142.187995,RED CLIFFS
514,-34.286644,142.186246,SUNNYCLIFFS
515,-34.386949,141.388479,WERRIMULL
516,-34.238385,142.172516,IRYMPLE
517,-34.1931,142.154161,MILDURA
518,-34.243279,142.100896,HATTAH
519,-37.972887,145.25835,MILDURA
520,-34.180532,142.004192,BIRDWOODTON
521,-35.204199,141.385876,COWANGIE
522,-35.120596,142.035659,WALPEUP
523,-35.155031,141.680385,LINGA
524,-35.39199,141.121226,CARINA
525,-35.12099315,141.0200955,PANITYA
526,-36.729444,144.062915,MARONG
527,-36.84708994,144.0636842,SHELBOURNE
528,-36.607616,144.041722,BRIDGEWATER
529,-36.483116,143.886832,BEARS LAGOON
530,-36.474937,143.586215,BERRIMAL
531,-36.405771,143.810786,KINYPANIAL
532,-37.090071,144.912693,PYALONG
533,-37.050037,144.747197,EMU FLAT
534,-37.07349322,144.7011112,GLENHOPE EAST
535,-36.837461,144.768359,ARGYLE
536,-36.2835,143.364316,BARRAKEE
537,-36.16805671,143.1280301,CHIRRIP
538,-36.21412082,143.1316318,GRANITE FLAT
539,-36.07096,143.241334,BUNGULUKE
540,-36.00182588,143.4513232,JERUK
541,-35.95739202,143.4213318,NINYEUNOOK
542,-36.19508429,143.3240251,TEDDYWADDY
543,-36.19667451,143.2226665,TEDDYWADDY WEST
544,-35.824259,143.232677,KALPIENUNG
545,-35.701439,143.152747,CULGOA
546,-35.73285433,142.9735632,SUTTON
547,-35.691824,143.2608071,WANGIE
548,-35.616408,142.943814,BERRIWILLOCK
549,-35.384557,142.839304,BIMBOURIE
550,-35.53651946,142.7557043,MYALL
551,-35.23730832,142.6920283,PIER MILAN
552,-35.37975184,142.5763552,STRATEN
553,-35.32433058,142.5758665,TYENNA
554,-36.079335,143.744455,BARRAPORT
555,-35.89277,143.45008,CANNIE
556,-35.700788,143.406398,COKUM
557,-35.75270861,143.363426,TITTYBONG
558,-35.51717216,143.1754083,CHINANGIN
559,-35.487989,143.14445,GOWANFORD
560,-35.61436535,143.2411218,MURNUNGIN
561,-35.57476437,143.1143327,SPRINGFIELD
562,-35.43230862,143.3741381,ULTIMA EAST
563,-35.060163,142.850456,BOLTON
564,-35.17251379,142.79978,GERAHMIN
565,-34.766049,142.820973,ANNUELLO
566,-34.612077,142.789595,ROBINVALE IRRIGATION DISTRICT SECTION B
567,-34.626246,142.730687,ROBINVALE IRRIGATION DISTRICT SECTION C
568,-34.636393,142.75566,ROBINVALE IRRIGATION DISTRICT SECTION D
569,-34.664554,142.759585,ROBINVALE IRRIGATION DISTRICT SECTION E
570,-34.82232378,142.9427595,WANDOWN
571,-36.764269,144.285267,BENDIGO
572,-36.78137,144.457937,ARNOLD
573,-36.59845103,144.6456354,CREEK VIEW
574,-36.88282226,144.5982185,LAKE EPPALOCK
575,-36.93636806,144.4059296,MYRTLE CREEK
576,-37.825288,145.011924,BENDIGO
577,-36.757,144.279,BENDIGO DC
578,-36.777226,144.245239,BIG HILL
579,-36.656422,144.178282,CALIFORNIA GULLY
580,-36.63511,144.576787,BARNADOWN
581,-36.51553,144.638363,BURNEWANG
582,-36.54452949,144.6702395,RUNNYMEDE
583,-36.570077,144.805307,AVONMORE
584,-36.53002718,144.8317218,BURRAMBOOT
585,-36.67769551,144.8712631,GOBARUP
586,-36.321109,144.709543,BALLENDELLA
587,-36.40526528,144.7181934,BONN
588,-36.062544,144.46276,TORRUMBARRY
589,-36.256251,144.515589,LOCKINGTON
590,-36.18096611,144.6014151,BAMAWM EXTENSION
591,-36.168997,144.728806,CAMPASPE WEST
592,-36.182336,144.511713,KOTTA
593,-35.945748,144.383334,GUNBOWER
594,-35.931669,144.262942,HORFIELD
595,-35.809462,144.184089,BURKES BRIDGE
596,-36.515303,144.28053,AUCHMORE
597,-36.36819,144.206865,DINGEE
598,-36.266642,144.257135,MILLOO
599,-36.164865,144.297958,CALIVIL
600,-36.055725,144.159028,BALD ROCK
601,-36.128029,143.917515,DURHAM OX
602,-35.767974,143.769445,APPIN
603,-35.62576908,143.6250386,BEAUCHAMP
604,-35.639761,144.094672,KOONDROOK
605,-35.628333,143.78521,BEAUCHAMP
606,-35.509635,143.66458,TRESCO
607,-35.431026,143.637617,LAKE BOGA
608,-35.348388,143.336906,CASTLE DONNINGTON
609,-35.27926115,143.1473395,POLISBET
610,-35.35616986,143.3980395,SWAN HILL WEST
611,-35.114021,143.792594,BULGA
612,-35.29429,143.470325,WOORINEN SOUTH
613,-35.228436,143.441248,WOORINEN
614,-35.235708,143.493525,BEVERFORD
615,-35.202209,143.394092,VINIFERA
616,-35.138155,143.346028,NYAH
617,-35.202752,143.351682,NYAH WEST
618,-35.123806,143.327682,MIRALIE
619,-34.965359,143.189786,KENLEY
620,-34.729742,143.143231,BOUNDARY BEND
621,-36.839707,145.179762,TABILK
622,-36.740713,145.095753,BAILIESTON
623,-36.577628,145.229349,DHURRINGILE
624,-36.575936,145.019312,MOORA
625,-36.54807055,145.0911963,WARANGA SHORES
626,-36.479193,145.30098,TOOLAMBA
627,-36.48360219,145.2688853,TOOLAMBA WEST
628,-36.464118,145.145217,COOMA
629,-36.49176389,145.068314,WARANGA
