,locality,lat,lon,locality_id,city_id,city_name,max_uv,datetime,t_solar_rad,uv_levels,uv_id
195,COOLAROO,-37.653917,144.923609,50,8348967,Meadow Heights,3.6,2022-08-03,3348.6,MODERATE,1
196,ATTWOOD,-37.673182,144.888492,51,9972415,Westmeadows,1.4,2022-07-31,1936.4,LOW,0
197,ATTWOOD,-37.673182,144.888492,51,9972415,Westmeadows,3.6,2022-08-03,3361.4,MODERATE,1
198,ATTWOOD,-37.673182,144.888492,51,9972415,Westmeadows,1.6,2022-08-02,1910.5,LOW,0
199,ATTWOOD,-37.673182,144.888492,51,9972415,Westmeadows,2.9,2022-08-01,2859.6,LOW,0
200,ROYAL MELBOURNE HOSPITAL,-37.800324,144.954581,52,7281804,North Melbourne,2.3,2022-07-31,1924.1,LOW,0
201,ROYAL MELBOURNE HOSPITAL,-37.800324,144.954581,52,7281804,North Melbourne,2.3,2022-08-01,2227.0,LOW,0
202,ROYAL MELBOURNE HOSPITAL,-37.800324,144.954581,52,7281804,North Melbourne,3.5,2022-08-03,3341.9,MODERATE,1
203,ROYAL MELBOURNE HOSPITAL,-37.800324,144.954581,52,7281804,North Melbourne,2.7,2022-08-02,2699.4,LOW,0
204,HOTHAM HILL,-37.8006,144.943559,53,7281804,North Melbourne,2.3,2022-07-31,1924.1,LOW,0
205,HOTHAM HILL,-37.8006,144.943559,53,7281804,North Melbourne,2.3,2022-08-01,2227.0,LOW,0
206,HOTHAM HILL,-37.8006,144.943559,53,7281804,North Melbourne,3.5,2022-08-03,3341.9,MODERATE,1
207,HOTHAM HILL,-37.8006,144.943559,53,7281804,North Melbourne,2.7,2022-08-02,2699.4,LOW,0
208,MELBOURNE UNIVERSITY,-37.788996,144.948903,54,2153770,Parkville,2.3,2022-07-31,1924.1,LOW,0
209,MELBOURNE UNIVERSITY,-37.788996,144.948903,54,2153770,Parkville,2.3,2022-08-01,2227.0,LOW,0
210,MELBOURNE UNIVERSITY,-37.788996,144.948903,54,2153770,Parkville,3.5,2022-08-03,3341.9,MODERATE,1
211,MELBOURNE UNIVERSITY,-37.788996,144.948903,54,2153770,Parkville,2.7,2022-08-02,2699.4,LOW,0
212,CARLTON,-37.803569,144.966112,55,2154912,North Melbourne,2.3,2022-07-31,1924.1,LOW,0
213,CARLTON,-37.803569,144.966112,55,2154912,North Melbourne,2.3,2022-08-01,2227.0,LOW,0
214,CARLTON,-37.803569,144.966112,55,2154912,North Melbourne,3.5,2022-08-03,3341.9,MODERATE,1
215,CARLTON,-37.803569,144.966112,55,2154912,North Melbourne,2.7,2022-08-02,2699.4,LOW,0
216,CARLTON NORTH,-37.786971,144.96724,56,2172289,Carlton North,2.3,2022-07-31,1924.1,LOW,0
217,CARLTON NORTH,-37.786971,144.96724,56,2172289,Carlton North,2.3,2022-08-01,2227.0,LOW,0
218,CARLTON NORTH,-37.786971,144.96724,56,2172289,Carlton North,3.5,2022-08-03,3341.9,MODERATE,1
219,CARLTON NORTH,-37.786971,144.96724,56,2172289,Carlton North,2.7,2022-08-02,2699.4,LOW,0
220,BRUNSWICK SOUTH,-37.763584,144.942222,57,2173734,Brunswick West,2.7,2022-08-02,2955.5,LOW,0
221,BRUNSWICK SOUTH,-37.763584,144.942222,57,2173734,Brunswick West,2.3,2022-07-31,1908.6,LOW,0
222,BRUNSWICK SOUTH,-37.763584,144.942222,57,2173734,Brunswick West,2.3,2022-08-01,2337.2,LOW,0
223,BRUNSWICK SOUTH,-37.763584,144.942222,57,2173734,Brunswick West,3.6,2022-08-03,3353.6,MODERATE,1
224,BRUNSWICK,-37.766292,144.960108,58,2173741,Brunswick,2.7,2022-08-02,2944.9,LOW,0
225,BRUNSWICK,-37.766292,144.960108,58,2173741,Brunswick,2.3,2022-07-31,1901.8,LOW,0
226,BRUNSWICK,-37.766292,144.960108,58,2173741,Brunswick,2.3,2022-08-01,2330.1,LOW,0
227,BRUNSWICK,-37.766292,144.960108,58,2173741,Brunswick,3.5,2022-08-03,3341.9,MODERATE,1
228,BRUNSWICK EAST,-37.770012,144.97728,59,2173739,Brunswick East,2.3,2022-07-31,1924.1,LOW,0
229,BRUNSWICK EAST,-37.770012,144.97728,59,2173739,Brunswick East,2.3,2022-08-01,2227.0,LOW,0
230,BRUNSWICK EAST,-37.770012,144.97728,59,2173739,Brunswick East,3.5,2022-08-03,3341.9,MODERATE,1
231,BRUNSWICK EAST,-37.770012,144.97728,59,2173739,Brunswick East,2.7,2022-08-02,2699.4,LOW,0
232,SUMNER,-37.772232,144.98034,60,2173739,Brunswick East,2.3,2022-07-31,1924.1,LOW,0
233,SUMNER,-37.772232,144.98034,60,2173739,Brunswick East,2.3,2022-08-01,2227.0,LOW,0
